item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Margherita,,Pizza,Pizza,"tomatoes, mozzarella, basil",28000,,,,,,
Prosciutto e Funghi,,Pizza,Pizza,"tomatoes, mozzarella, cooked ham and mushrooms",42000,,,,,,
Pugliese,,Pizza,Pizza,"tomatoes, mozzarella, oregano, black olives",29000,,,,,,
Capricciosa,,Pizza,Pizza,"tomatoes, mozzarella, black olives, artichokes, capers, mushroom, salami",42000,,,,,,
Vegetariana,,Pizza,Pizza,"tomatoes, mozzarella, green pepper, zucchini, onion, mushrooms",34000,,,,,,
Pizza Italia,,Pizza,Pizza,"tomatoes, mozzarella, spinach, cooked ham, mushroom",42000,,,,,,
Pata Pizza Contadina,,Pizza,Pizza,"tomatoes, mozzarella, French fries",34000,,,,,,
Sorrento,,Pizza,Pizza,"tomatoes, mozzarella, pork sausage, spinach, fresh chilli",42000,,,,,,
Kimchi Pizza,,Pizza,Pizza,"tomatoes, mozzarella, homemade kimchi, onions, sliced bacon",38000,,,,,,
Sweet Vegetariana,,Pizza,Pizza,"mozzarella, onion, yellow and red bell pepper, zucchini",34000,,,,,,
Crudo e Rucola,,Pizza,Pizza,"tomatoes, mozzarella, shredded parmesan, crudo, fresh rocket",44000,,,,,,
Spinaci e Feta,,Pizza,Pizza,"tomatoes, mozzarella, feta cheese and Spinach",36000,,,,,,
Rustica,,Pizza,Pizza,"mozzarella, cherry tomatoes, basil, spinach, shredded parmesan, artichokes",36000,,,,,,
Don Corleone,,Pizza,Pizza,"tomatoes, mozzarella, zucchini, cooked ham OR pollo, spinach, gorgonzola cheese, fresh chilli",38000,,,,,,
4 Formaggi,,Pizza,Pizza,"mozzarella, gorgonzola, cheddar, emmenthal cheese",44000,,,,,,
Crudo e Gorgonzola,,Pizza,Pizza,"tomatoes, mozzarella, speck, gorgonzola cheese",48000,,,,,,
Pere e Gorgonzola,,Pizza,Pizza,"mozzarella, gorgonzola cheese, black pepper, pears",44000,,,,,,
Surf and Turf,,Pizza,Pizza,"tomatoes, beef slices, prawns, cherry tomatoes, balsamic syrup",55000,,,,,,
Diavola,,Pizza,Pizza,"tomatoes, mozzarella, chorizo, fresh green chilli",38000,,,,,,
Seafood (Frutti de Mare),,Pizza,Pizza,"tomatoes, mozzarella, prawns, calamari",55000,,,,,,
Salami,,Pizza,Pizza,"tomatoes, mozzarella, salami",38000,,,,,,
Pizza Carnivora (Meat Feast),,Pizza,Pizza,"tomatoes, mozzarella, beef, salami, bacon, bbq sausage",55000,,,,,,
Hawaiian,,Pizza,Pizza,"tomatoes, mozzarella, cooked ham, pineapple",38000,,,,,,
Romana,,Pizza,Pizza,"tomatoes, anchovies, capers",34000,,,,,,
Parma Roll,,Pizza,Pizza,"mozzarella, fresh rocket, crudo",42000,,,,,,
Prosciutto Focaccia,,Pizza,Pizza,"tomatoes, mozzarella, cooked ham",38000,,,,,,
Focaccia,,Pizza,Pizza,"salt, Rosemary, olive oil",26000,,,,,,
Calzone,,Pizza,Pizza,"tomatoes, mozzarella, mushroom, cooked ham",38000,,,,,,
Napoli,,Pizza,Pizza,"tomatoes, mozzarella, anchovies, capers",38000,,,,,,
Pollo,,Pizza,Pizza,"tomatoes, mozzarella, mushroom, chicken",38000,,,,,,
Tonno,,Pizza,Pizza,"tomatoes, mozzarella, onion, tuna fish",38000,,,,,,
Bacon,,Pizza,Pizza,"tomatoes, mozzarella, bacon",38000,,,,,,
Monaco,,Pizza,Pizza,"tomatoes, mozzarella, gouda, salami, fresh chilli",38000,,,,,,
4 Stagioni,,Pizza,Pizza,"tomatoes, mozzarella, black olives, cooked ham, sun dried tomatoes, mushrooms",44000,,,,,,
Bolognese,,Pizza,Pizza,"tomatoes, mozzarella, minced beef, onions, mushrooms",34000,,,,,,
Garlic Bread - Small,,Bread,Bread,Garlic and olive oil or herbal butter,,,,182000,,,
Garlic Bread - Large,,Bread,Bread,Garlic and olive oil or herbal butter,,,,,,118000,
"Extras - Pineapple, spinach, zucchini, egg, fresh tomatoes, eggplant, green pepper, olives, onion, mushroom",,Extras,Extras,,4000,,,,,,
"Extras - Mozzarella, capers, garlic deep, chilli dip or ketchup",,Extras,Extras,,5000,,,,,,
"Extras - Salami, cooked ham, bacon, pork sausage, minced beef, chicken",,Extras,Extras,,8000,,,,,,
"Extras - Gorgonzola cheese, parma ham, artichokes, Rocket, cherry tomatoes, pear, yellow or red bell pepper, tuna, cheddar, chips, anchovies, parmesan cheese",,Extras,Extras,,10000,,,,,,
"Extras - Prawns, calamari",,Extras,Extras,,18000,,,,,,
