item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Della Buffet Breakfast,,Breakfast,Della Buffet,"Wide range of options from our lavish buffet choice of fruits, breads, morning bakery, Cereals, Cold Cuts, Dry Fruits, Juices, Milkshakes, Health Drinks, Continental dishes, Variety of cooked Indian, Continental dishes, Live South Indian Counter Tea/ Coffee.",1250,,,,,,
Kanda Poha or Rava Upma with Chutney,,Breakfast,Ala Carte,,450,,,,,,
"Butter Milk Pancakes with Maple Syrup, Whipped Cream and Chocolate Sauce",,Breakfast,Ala Carte,,450,,,,,,
"Belgian Waffles with Maple Syrup, Whipped Cream and Chocolate Sauce",,Breakfast,Ala Carte,,450,,,,,,
Poori Bhaji,,Breakfast,Ala Carte,,450,,,,,,
Steamed Idlis with Sambhar and Chutney,,Breakfast,Ala Carte,,450,,,,,,
Uttapam with Sambhar and Chutney,,Breakfast,Ala Carte,,450,,,,,,
Saada Dosa with Sambhar and Chutney,,Breakfast,Ala Carte,,450,,,,,,
Masala Dosa with Sambhar and Chutney,,Breakfast,Ala Carte,,450,,,,,,
Stuffed Indian Parathas - Paneer with Yogurt and Pickle,,Breakfast,Ala Carte,,450,,,,,,
Stuffed Indian Parathas - Aloo with Yogurt and Pickle,,Breakfast,Ala Carte,,450,,,,,,
Stuffed Indian Parathas - Gobi with Yogurt and Pickle,,Breakfast,Ala Carte,,450,,,,,,
Akuri on Toast,,Breakfast,Ala Carte,,550,,,,,,
Your Choice of Eggs with Toast and Baked Beans,,Breakfast,Ala Carte,"Choose from sunny side-up, overeasy, poached, masala omelette, boiled",550,,,,,,
Grilled Chicken Sausages with Mash Potatoes,,Breakfast,Ala Carte,,550,,,,,,
Grilled Chicken Sausages with French Fries,,Breakfast,Ala Carte,,550,,,,,,
Grilled Chicken Sausages with Oven Roasted Tomatoes,,Breakfast,Ala Carte,,550,,,,,,
Classic French Fries,,All Time Eats,International,,300,,,,,,
Cheesy French Fries,,All Time Eats,International,Crispy fries tossed with Cheese,375,,,,,,
Potato Wedges with Dip,,All Time Eats,International,Chunky potato wedges served with garlic cheese sauce,375,,,,,,
Cheesy Dynabites,,All Time Eats,International,,450,,,,,,
Tomato Basil Bruschetta,,All Time Eats,International,,450,,,,,,
Cheesy Chilly Toast,,All Time Eats,International,,450,,,,,,
Mac & Cheese,,All Time Eats,International,"Elbow shaped pasta in Cream cheese sauce, gratinated with cheddar",700,,,,,,
Chop Suey - Vegetables,,All Time Eats,International,"Bowl of Chop suey with Vegetables in tomato sauce, topped with fried egg",700,,,,,,
Chop Suey - Chicken,,All Time Eats,International,"Bowl of Chop suey with Chicken in tomato sauce, topped with fried egg",800,,,,,,
Della Sundae,,All Time Eats,International,"Della speciality dessert, a must try for kids of all ages!",475,,,,,,
Sev Papdi Chaat,,All Time Eats,Indian,Delhi Style Papdi Chaat freshly served in Lonavala,350,,,,,,
Cocktail Vegetable Samosa,,All Time Eats,Indian,"Spicy potato stuffed pyramid pastry, with tamarind & mint chutney",350,,,,,,
Vegetable Pakora,,All Time Eats,Indian,"Gram flour batter, local vegetables, paneer, with green chutney",375,,,,,,
Fish Koliwada,,All Time Eats,Indian,Spiced chick peas battered fried fish,750,,,,,,
"Cucumber, Tomato and Cream Cheese Sandwich",,"Sandwich, Burgers & Pizza",Sandwich,,650,,,,,,
Paneer Tikka Sandwich,,"Sandwich, Burgers & Pizza",Sandwich,,800,,,,,,
Chicken Tikka Sandwich,,"Sandwich, Burgers & Pizza",Sandwich,,800,,,,,,
"Roast Chicken Sandwich with Gherkins, Caramelised Onions with Mustard Mayo",,"Sandwich, Burgers & Pizza",Sandwich,,800,,,,,,
Classic Club Sandwich,,"Sandwich, Burgers & Pizza",Sandwich,"Grilled Chicken, bacon, tomato, fried egg, cheddar",800,,,,,,
Classic Veg Club Sandwich,,"Sandwich, Burgers & Pizza",Sandwich,"Char Grilled vegetables, tandoor baked chilli potatoes and cheese",650,,,,,,
Croque Monsieur,,"Sandwich, Burgers & Pizza",Sandwich,Toasted Sandwich with Ham and Cheese,800,,,,,,
Tuna Melt,,"Sandwich, Burgers & Pizza",Sandwich,"Crumbled Marinated Tuna with cheddar, mustard",900,,,,,,
Crumb Fried Vegetable and Jalapeno Burger,,"Sandwich, Burgers & Pizza",Burger,,800,,,,,,
Barbeque Chicken Patty Topped with Caramelised Onions and Cheese,,"Sandwich, Burgers & Pizza",Burger,,900,,,,,,
Grilled Chicken Breast,,"Sandwich, Burgers & Pizza",Burger,,950,,,,,,
Margherita,,Pizza,Pizza,"Traditional Tomato, Basil and Mozzarella.",700,,,,,,
"Goat’s Cheese, Buffalo Mozzarella and Fresh Basil Pizza",,Pizza,Pizza,"Slow dried vine tomatoes, roasted garlic.",750,,,,,,
Tikka Pizza - Paneer Tikka,,Pizza,Pizza,"Sliced Bell Peppers, Onions, Chillies & Coriander",750,,,,,,
Tikka Pizza - Chicken Tikka,,Pizza,Pizza,"Sliced Bell Peppers, Onions, Chillies & Coriander",850,,,,,,
Classic Chicago Pizza,,Pizza,Pizza,"Chicken Pepperoni, Mushrooms, Olives and Thyme.",950,,,,,,
Tamatar Santre Ka Saar,,Indian,Soup,Tomato soup with a hint of orange and spices,450,,,,,,
"Bhune Makai, Badam Ka Shorba",,Indian,Soup,Spiced roasted corn and almond broth,450,,,,,,
Murg Ka Raab,,Indian,Soup,"Veloute of chicken, masala fox nuts",450,,,,,,
Yakhani,,Indian,Soup,An Authentic Kashmiri hearty lamb broth,450,,,,,,
