item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Espresso,,BREWS,BREWS,,95,,,,,,
Americano,,BREWS,BREWS,,114,,,,,,
Cappuccino,,BREWS,BREWS,,133,,,,,,
Mocha,,BREWS,BREWS,,152,,,,,,
Cold Coffee,,BREWS,BREWS,,190,,,,,,
Masala Chai,,BREWS,BREWS,,57,,,,,,
Green Tea,,BREWS,BREWS,,86,,,,,,
Ginger Lemon Honey Tea,,BREWS,BREWS,,115,,,,,,
Milk Coffee,,BREWS,BREWS,,95,,,,,,
Filter Coffee,,BREWS,BREWS,,95,,,,,,
Sweet Lassi,,LASSI,LASSI,,134,,,,,,
Masala Lassi,,LASSI,LASSI,,134,,,,,,
Banana & Honey Lassi,,LASSI,LASSI,,153,,,,,,
Watermelon Juice,,SLOW PRESSED FRESH JUICES,SLOW PRESSED FRESH JUICES,,153,,,,,,
Pineapple Juice,,SLOW PRESSED FRESH JUICES,SLOW PRESSED FRESH JUICES,,200,,,,,,
Orange Juice,,SLOW PRESSED FRESH JUICES,SLOW PRESSED FRESH JUICES,,210,,,,,,
Aerated Drinks Can,,SOFT BEVERAGES,SOFT BEVERAGES,,71,,,,,,
Schweppes Tonic Water,,SOFT BEVERAGES,SOFT BEVERAGES,,95,,,,,,
Schweppes Ginger Ale,,SOFT BEVERAGES,SOFT BEVERAGES,,95,,,,,,
Red Bull,,SOFT BEVERAGES,SOFT BEVERAGES,,200,,,,,,
Fresh Lime Soda,,SOFT BEVERAGES,SOFT BEVERAGES,,95,,,,,,
Fresh Lime Water,,SOFT BEVERAGES,SOFT BEVERAGES,,95,,,,,,
Coconut Water,,SOFT BEVERAGES,SOFT BEVERAGES,,153,,,,,,
Soda (500ml),,SOFT BEVERAGES,SOFT BEVERAGES,,67,,,,,,
Bottle Of Water,,SOFT BEVERAGES,SOFT BEVERAGES,,29,,,,,,
Indian Breakfast,,Breakfast,Breakfast Thali,"Aloo Parantha, Savoury, Sprouts, Fresh Fruit, Juice, Tea|Coffee",296,,,,,,
Continental Breakfast,,Breakfast,Breakfast Thali,"Fresh Fruit, Toast, Bakery, Choice of Egg, Juice, Tea/Coffee",296,,,,,,
English Breakfast,,Breakfast,Breakfast Thali,"Baked Beans, Choice of Egg, Bread, Chicken Sausage, Chicken Salami, Roast Potato & Mushroom, Juice, Tea|Coffee",458,,,,,,
Aloo Parantha,,Breakfast,Breakfast Add-ons,,152,,,,,,
Paneer Parantha,,Breakfast,Breakfast Add-ons,,200,,,,,,
Cornflakes with Milk,,Breakfast,Breakfast Add-ons,,133,,,,,,
Crunchy Muesli with Milk,,Breakfast,Breakfast Add-ons,,162,,,,,,
Baked Beans with Toast,,Breakfast,Breakfast Add-ons,,210,,,,,,
Homemade Toast,,Breakfast,Breakfast Add-ons,Served with Butter & Jam,76,,,,,,
Fried Egg,,Breakfast,Breakfast Add-ons,"All the above are served with Toast, Butter & Jam, Veggies",162,,,,,,
Plain Omelette,,Breakfast,Breakfast Add-ons,"All the above are served with Toast, Butter & Jam, Veggies",162,,,,,,
Masala Omelette,,Breakfast,Breakfast Add-ons,"All the above are served with Toast, Butter & Jam, Veggies",171,,,,,,
Cheese Omelette,,Breakfast,Breakfast Add-ons,"All the above are served with Toast, Butter & Jam, Veggies",181,,,,,,
Scrambled Egg,,Breakfast,Breakfast Add-ons,"All the above are served with Toast, Butter & Jam, Veggies",162,,,,,,
Boiled Egg,,Breakfast,Breakfast Add-ons,"All the above are served with Toast, Butter & Jam, Veggies",162,,,,,,
Butter Croissant,,All Day,Freshly Baked,,76,,,,,,
Cheese Croissant,,All Day,Freshly Baked,,86,,,,,,
Chocolate Croissant,,All Day,Freshly Baked,,95,,,,,,
Cinnamon Danish Pastry,,All Day,Freshly Baked,,124,,,,,,
Vegetable Puff,,All Day,Freshly Baked,,105,,,,,,
Chicken Puff,,All Day,Freshly Baked,,124,,,,,,
Coleslaw Sandwich,,All Day,Sandwiches & Burgers,,219,,,,,,
"Tomato, Cucumber & Cheese Sandwich",,All Day,Sandwiches & Burgers,,229,,,,,,
Chicken Ham & Cheese Sandwich,,All Day,Sandwiches & Burgers,,324,,,,,,
Focaccia Paneer Tikka Sandwich,,All Day,Sandwiches & Burgers,,324,,,,,,
