item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Bhatti Ka Paneer,,Indian Cuisine,Vegetarian Starters,"Cottage cheese marinated with home ground spices cooked over glowing embers, a speciality of Amritsar",580.0,,,,,,
Paneer Ka Soola,,Indian Cuisine,Vegetarian Starters,"Pickle stuffed cottage cheese in tandoori marination, cooked to perfection",580.0,,,,,,
Chowk Ki Seekh Kebab,,Indian Cuisine,Vegetarian Starters,"From the streets of Chandni Chowk, minced cottage cheese, vegetables & roasted almond infused with herbs & spices, char grilled to perfection",580.0,,,,,,
Ajwaini Kumbh,,Indian Cuisine,Vegetarian Starters,"Hand picked mushroom marinated in a blend of carrom paste and yogurt, scented with fresh mint & pickle spices",580.0,,,,,,
Tandoori Zafraani Aloo,,Indian Cuisine,Vegetarian Starters,Baby aloo marinated with saffron and spices cooked in clay oven,550.0,,,,,,
Tandoori Shakar Kandi,,Indian Cuisine,Vegetarian Starters,"Delicate soft “sweet potato” chargrilled in tandoor, finished with lime juice and chopped coriander",550.0,,,,,,
Firangi Malai Gobhi,,Indian Cuisine,Vegetarian Starters,"Fresh broccoli flavored in tandoori malai marinade, finished to perfection",580.0,,,,,,
Jheenga Hariyali,,Indian Cuisine,Non-Vegetarian Starters,Prawns cooked in clay oven with cilantro marination,1200.0,,,,,,
Fish,,Indian Cuisine,Non-Vegetarian Starters,"Achari Haldi Mahi Tikka - Clay oven roasted fish, marinated with aged turmeric pickle",1050.0,,,,,,
Ajwain Pomfret,,Indian Cuisine,Non-Vegetarian Starters,Whole pomfret marinated and cooked in clay oven,1550.0,,,,,,
Amritsari Fish Fry,,Indian Cuisine,Non-Vegetarian Starters,Golden fish preparation originated from Punjab,1050.0,,,,,,
Meen Pollichathu,,Indian Cuisine,Non-Vegetarian Starters,"Fish fillet marinated in a special blend of spices, encased in banana leaf and grilled",1050.0,,,,,,
Adraki Murgh Tikka,,Indian Cuisine,Non-Vegetarian Starters,"Succulent ginger spiced chicken tikka, chargrilled in clay-oven",660.0,,,,,,
Murgh Chandi Tikka,,Indian Cuisine,Non-Vegetarian Starters,"Chicken leg boneless marinated in cumin spices, grilled in tandoor finished with silver warq",750.0,,,,,,
Murgh Seekh Kebab,,Indian Cuisine,Non-Vegetarian Starters,Mouthwatering dish made with minced chicken and flovored with Indian spices,660.0,,,,,,
