item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Margherita,,Pizza Al Forno,Pizza Al Forno,"Fresh basil, tomato sauce, mozzarella",855.0,,,,,,
Della casa,,Pizza Al Forno,Pizza Al Forno,"Ricotta, jalapeño, broccoli, Kalamata olives, sun-dried tomato, mozzarella",925.0,,,,,,
Riverside special,,Pizza Al Forno,Pizza Al Forno,"Tomato sauce, mozzarella, goat cheese, caramelized onion, rocket, sun-dried tomato",925.0,,,,,,
Pizza fungi,,Pizza Al Forno,Pizza Al Forno,"Tomato sauce, mozzarella, button mushroom, shiitake, wood ear fungus, artichoke and parsley",925.0,,,,,,
Arrabbiata,,Pizza Al Forno,Pizza Al Forno,"Cherry tomato, chili, garlic, mozzarella, spicy tomato sauce",925.0,,,,,,
Ortolana,,Pizza Al Forno,Pizza Al Forno,"Tomato sauce, mozzarella and mixed grilled vegetables",925.0,,,,,,
Napoli,,Pizza Al Forno,Pizza Al Forno,"Garlic oil, oregano, capers, anchovies and tomato sauce",1095.0,,,,,,
Pepperoni,,Pizza Al Forno,Pizza Al Forno,"Spicy tomato sauce, mozzarella, pepperoni, oregano",1095.0,,,,,,
Fruit di mare,,Pizza Al Forno,Pizza Al Forno,"Tomato sauce, mozzarella, red snapper, prawn, calamari",1095.0,,,,,,
"Aglio, olio pepperoncino",,Pizza Al Forno,Pizza Al Forno,"Spicy tender chicken, bell pepper, onion, tomato sauce and mozzarella",1095.0,,,,,,
Rustica,,Pizza,Pizza,"Roasted marinated chicken, mushroom, tomato sauce, mozzarella",1095.0,,,,,,
Parma ham,,Pizza,Pizza,"Tomato sauce, mozzarella, pineapple, parmesan shaving, rocket leaves",1095.0,,,,,,
Riverside special garlic bread,,Pizza/Calzone a Scelta,Pizza/Calzone a Scelta,Toasted baguette slices and topped with salted butter garlic and parsley,595.0,,,,,,
Pizza Riverside “schiacciata”,,Pizza/Calzone a Scelta,Pizza/Calzone a Scelta,"Garlic, rosemary, parsley, black pepper, chili flakes, rock salt and topped with olive oil",695.0,,,,,,
Vegetarian,,Pizza/Calzone a Scelta,Pizza/Calzone a Scelta,"Olives, capers, bell pepper, broccoli, zucchini, mushroom, jalapeño chilli, green chilli, fresh tomato, onion, artichokes, oven-dried tomatoes. Kindly choose any four toppings",925.0,,,,,,
Non vegetarian,,Pizza/Calzone a Scelta,Pizza/Calzone a Scelta,"Chicken, chicken sausage, prawns, squid, fish, pork salami, Parma ham. Kindly choose any four toppings",1095.0,,,,,,
