item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Classic Jumbo Burger + French Fries (With Dip) + Any Mojito,,Combo,Combo,,129,,,,,,
Classic Jumbo Burger + Any Mojito,,Combo,Combo,,99,,,,,,
Classic Mix Veg. Fried Momos (6 Pcs) + French Fries (With Dip),,Combo,Combo,,159,,,,,,
Premium Cold Coffee + Any Mojito,,Combo,Combo,,89,,,,,,
Any Kulhad Zone Item + Any Mojito,,Combo,Combo,,149,,,,,,
Veg. Cheese Mexican Grilled Sandwich (3 Layers) + Any Mojito,,Combo,Combo,,179,,,,,,
"Any Grilled Wrap + Exotica Pizza (7"") + Cheese Garlic Bread (3 Pcs) + Any Mojito",,Combo,Combo,,159,,,,,,
Rocking Sizzling Fries + Any Mojito,,Combo,Combo,,169,,,,,,
Classic Jumbo Burger,,Premium Burgers,Regular,Tasty herb potato patty imprisoned with onion & tasty sauce Between fresh soft buns,39,,,,,,
Classic Jumbo Burger - With Cheese Slice,,Premium Burgers,Regular,Tasty herb potato patty imprisoned with onion & tasty sauce Between fresh soft buns,54,,,,,,
Peri Peri Burger,,Premium Burgers,Regular,Enjoy the flavour of peri peri with special sauce & toppings in fresh buns,49,,,,,,
Peri Peri Burger - With Cheese Slice,,Premium Burgers,Regular,Enjoy the flavour of peri peri with special sauce & toppings in fresh buns,64,,,,,,
Spicy Barbeque King Burger,,Premium Burgers,Regular,Top selling spicy burger topped with super spicy sauce,59,,,,,,
Indian Delight Burger,,Premium Burgers,Regular,"Tasty herb potato patty imprisoned with onion, tomato, cucumber with added Indian tasty sauce Between fresh soft buns",59,,,,,,
Indian Delight Burger - With Cheese Slice,,Premium Burgers,Regular,"Tasty herb potato patty imprisoned with onion, tomato, cucumber with added Indian tasty sauce Between fresh soft buns",74,,,,,,
Punjabi Tadka Burger,,Premium Burgers,Regular,All time favourite Punjabi flavour in your Burger with special Sauces & Spices,59,,,,,,
Punjabi Tadka Burger - With Cheese Slice,,Premium Burgers,Regular,All time favourite Punjabi flavour in your Burger with special Sauces & Spices,74,,,,,,
Double Tikki Burger,,Premium Burgers,Regular,Two tasty Herb Potato Patty imprisoned with Onion & tasty Sauce between fresh soft buns,69,,,,,,
