item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Classic Jumbo Burger + French Fries (With Dip) + Any Mojito,,Uncategorized,Uncategorized,,129.0,,,,,,
Classic Jumbo Burger + Any Mojito - 2,,Uncategorized,Uncategorized,,99.0,,,,,,
Classic Mix Veg. Fried Momos (6 Pcs) + French Fries (With Dip) + Any Mojito,,Uncategorized,Uncategorized,,159.0,,,,,,
Premium Cold Coffee - 2,,Uncategorized,Uncategorized,,89.0,,,,,,
Any Kulhad Zone Item + Any Mojito,,Uncategorized,Uncategorized,,149.0,,,,,,
Veg. Cheese Mexican Grilled Sandwich (3 Layers) + Any Mojito,,Uncategorized,Uncategorized,,179.0,,,,,,
"Exotica Pizza (7"") + Cheese Garlic Bread (3 Pcs) + Any Mojito",,Uncategorized,Uncategorized,,199.0,,,,,,
Any Grilled Wrap + Any Mojito,,Uncategorized,Uncategorized,,159.0,,,,,,
Rocking Sizzling Fries + Any Mojito,,Uncategorized,Uncategorized,,169.0,,,,,,
Any Mojito - 3,,Uncategorized,Uncategorized,,99.0,,,,,,
Classic Jumbo Burger - Regular,,Premium Burgers,Premium Burgers,,39.0,,,,,,
Classic Jumbo Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,54.0,,,,,,
Peri Peri Burger - Regular,,Premium Burgers,Premium Burgers,,49.0,,,,,,
Peri Peri Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,64.0,,,,,,
Spicy Barbeque King Burger - Regular,,Premium Burgers,Premium Burgers,,59.0,,,,,,
Spicy Barbeque King Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,74.0,,,,,,
Indian Delight Burger - Regular,,Premium Burgers,Premium Burgers,,59.0,,,,,,
Indian Delight Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,74.0,,,,,,
Punjabi Tadka Burger - Regular,,Premium Burgers,Premium Burgers,,59.0,,,,,,
Punjabi Tadka Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,74.0,,,,,,
Double Tikki Burger - Regular,,Premium Burgers,Premium Burgers,,69.0,,,,,,
Double Tikki Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,84.0,,,,,,
Mexican King Burger - Regular,,Premium Burgers,Premium Burgers,,79.0,,,,,,
Mexican King Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,94.0,,,,,,
7 Saucy King Burger - Regular,,Premium Burgers,Premium Burgers,,109.0,,,,,,
7 Saucy King Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,124.0,,,,,,
Royal Paneer Grilled Burger - Regular,,Premium Burgers,Premium Burgers,,129.0,,,,,,
Royal Paneer Grilled Burger - With Cheese Slice,,Premium Burgers,Premium Burgers,,144.0,,,,,,
Salted French Fries (with cheese dip) - Regular,,World Of Fries,World Of Fries,,79.0,,,,,,
Salted French Fries (with cheese dip) - Cheesy,,World Of Fries,World Of Fries,,119.0,,,,,,
Peri Peri Fries (with cheese dip) - Regular,,World Of Fries,World Of Fries,,99.0,,,,,,
Peri Peri Fries (with cheese dip) - Cheesy,,World Of Fries,World Of Fries,,139.0,,,,,,
Cheese Masala Fries (with special dip) - Regular,,World Of Fries,World Of Fries,,99.0,,,,,,
Cheese Masala Fries (with special dip) - Cheesy,,World Of Fries,World Of Fries,,139.0,,,,,,
Zorko Italian Loaded Fries - Regular,,World Of Fries,World Of Fries,,139.0,,,,,,
Zorko Rocking Sizzling Fries - Regular,,World Of Fries,World Of Fries,,149.0,,,,,,
Classic Veg Wrap - Regular,,Zorko Grilled Wrap,Zorko Grilled Wrap,,99.0,,,,,,
Classic Veg Wrap - With Cheese,,Zorko Grilled Wrap,Zorko Grilled Wrap,,129.0,,,,,,
Mexican Salsa Wrap - Regular,,Zorko Grilled Wrap,Zorko Grilled Wrap,,119.0,,,,,,
Mexican Salsa Wrap - With Cheese,,Zorko Grilled Wrap,Zorko Grilled Wrap,,149.0,,,,,,
Italian Club Wrap - Regular,,Zorko Grilled Wrap,Zorko Grilled Wrap,,129.0,,,,,,
Italian Club Wrap - With Cheese,,Zorko Grilled Wrap,Zorko Grilled Wrap,,159.0,,,,,,
Spicy Paneer Wrap - Regular,,Zorko Grilled Wrap,Zorko Grilled Wrap,,139.0,,,,,,
Spicy Paneer Wrap - With Cheese,,Zorko Grilled Wrap,Zorko Grilled Wrap,,169.0,,,,,,
Classic Mix Veg Fried Momos (6 Pcs.),,Momos Mania,Momos Mania,,79.0,,,,,,
Cheese Melting Gravy Momos (6 Pcs.),,Momos Mania,Momos Mania,,139.0,,,,,,
Cheese Volcano Kulhad Momos,,Kulhad Zone,Kulhad Zone,,129.0,,,,,,
Cheese Loaded Kulhad Pizza,,Kulhad Zone,Kulhad Zone,,129.0,,,,,,
Cheese Chatori Kulhad Maggie,,Kulhad Zone,Kulhad Zone,,129.0,,,,,,
Cheesy Crazy Kulhad Pasta,,Kulhad Zone,Kulhad Zone,,129.0,,,,,,
Nachos Chips with Cheese Dip,,Let's Nacho,Let's Nacho,,69.0,,,,,,
Cheesy Delight Nachos,,Let's Nacho,Let's Nacho,,119.0,,,,,,
Cheese Exotic Loaded Nachos,,Let's Nacho,Let's Nacho,,139.0,,,,,,
Margherita Pizza - Regular,,Pizzeria,Pizzeria,,89.0,,,,,,
Margherita Pizza - Double Cheese,,Pizzeria,Pizzeria,,129.0,,,,,,
Hindustani Margherita Pizza - Regular,,Pizzeria,Pizzeria,,99.0,,,,,,
Hindustani Margherita Pizza - Double Cheese,,Pizzeria,Pizzeria,,139.0,,,,,,
Capsicum And Onion Cheese Pizza - Regular,,Pizzeria,Pizzeria,,109.0,,,,,,
Capsicum And Onion Cheese Pizza - Double Cheese,,Pizzeria,Pizzeria,,149.0,,,,,,
