item_name,variant,category,subcategory,description,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,price_display
Vegetable Samosa,,Vegetarian Entrees,Vegetarian Entrees,,11.0,,,,,,
Pakoras,,Vegetarian Entrees,Vegetarian Entrees,,9.5,,,,,,
Aloo Set,,Vegetarian Entrees,Vegetarian Entrees,,11.5,,,,,,
Dal Soup,,Vegetarian Entrees,Vegetarian Entrees,,9.5,,,,,,
Onion Bhajia,,Vegetarian Entrees,Vegetarian Entrees,,11.5,,,,,,
Tofa.E.Noor,,Vegetarian Entrees,Vegetarian Entrees,,19.0,,,,,,
Lamb Samosa,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,11.0,,,,,,
Chicken Samosa,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,11.0,,,,,,
Tandoori Chicken,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,10.5,,,,,,
Reshmi Kebab,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,9.5,,,,,,
Seekh Kebab,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,11.0,,,,,,
Chicken Tikka,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,12.5,,,,,,
Nawab Paneer Tikka,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,16.5,,,,,,
Barra kebab,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,20.0,,,,,,
Prawn Puri,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,16.5,,,,,,
Achari Fish Tikka,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,17.0,,,,,,
Deluxe Mixed Entrée,,Non-Vegetarian Entrees,Non-Vegetarian Entrees,,16.5,,,,,,
Vegetable Kashmiri Korma,,Vegetarian Specialties,Vegetarian Specialties,,24.5,,,,,,
Vegetable Kofta,,Vegetarian Specialties,Vegetarian Specialties,,21.0,,,,,,
Matar Paneer,,Vegetarian Specialties,Vegetarian Specialties,,25.0,,,,,,
Bombay Aloo,,Vegetarian Specialties,Vegetarian Specialties,,20.0,,,,,,
Broccoli Masala,,Vegetarian Specialties,Vegetarian Specialties,,21.0,,,,,,
Shahi Paneer,,Vegetarian Specialties,Vegetarian Specialties,,24.0,,,,,,
Tarka Dhal,,Vegetarian Specialties,Vegetarian Specialties,,21.0,,,,,,
Chana Masala,,Vegetarian Specialties,Vegetarian Specialties,,21.5,,,,,,
Vegetable Curry,,Vegetarian Specialties,Vegetarian Specialties,,21.0,,,,,,
Bindi Masala,,Vegetarian Specialties,Vegetarian Specialties,,21.0,,,,,,
Jalfrezi Bindi,,Vegetarian Specialties,Vegetarian Specialties,,21.0,,,,,,
Baingan Masala,,Vegetarian Specialties,Vegetarian Specialties,,26.0,,,,,,
Karahi paneer,,Vegetarian Specialties,Vegetarian Specialties,,25.0,,,,,,
Paneer jalfrezi,,Vegetarian Specialties,Vegetarian Specialties,,25.0,,,,,,
Malai kofta,,Vegetarian Specialties,Vegetarian Specialties,,24.0,,,,,,
